"","names","links","lastyear","actual_link"
"2463","Brian Mahoney","/players/m/mahonbr01.html",1973,"https://basketball-reference.com/players/m/mahonbr01.html"
"2464","Mo Mahoney","/players/m/mahonmo01.html",1954,"https://basketball-reference.com/players/m/mahonmo01.html"
"2465","Rick Mahorn","/players/m/mahorri01.html",1999,"https://basketball-reference.com/players/m/mahorri01.html"
"2466","Dan Majerle","/players/m/majerda01.html",2002,"https://basketball-reference.com/players/m/majerda01.html"
"2467","Renaldo Major","/players/m/majorre01.html",2007,"https://basketball-reference.com/players/m/majorre01.html"
"2468","Thon Maker","/players/m/makerth01.html",2020,"https://basketball-reference.com/players/m/makerth01.html"
"2469","Jeff Malone","/players/m/malonje01.html",1996,"https://basketball-reference.com/players/m/malonje01.html"
"2470","Karl Malone","/players/m/malonka01.html",2004,"https://basketball-reference.com/players/m/malonka01.html"
"2471","Moses Malone","/players/m/malonmo01.html",1995,"https://basketball-reference.com/players/m/malonmo01.html"
"2472","Matt Maloney","/players/m/malonma01.html",2003,"https://basketball-reference.com/players/m/malonma01.html"
"2473","Steve Malovic","/players/m/malovst01.html",1980,"https://basketball-reference.com/players/m/malovst01.html"
"2474","Mike Maloy","/players/m/maloymi01.html",1973,"https://basketball-reference.com/players/m/maloymi01.html"
"2475","Ted Manakas","/players/m/manakte01.html",1974,"https://basketball-reference.com/players/m/manakte01.html"
"2476","Terance Mann","/players/m/mannte01.html",2020,"https://basketball-reference.com/players/m/mannte01.html"
"2477","Danny Manning","/players/m/mannida01.html",2003,"https://basketball-reference.com/players/m/mannida01.html"
"2478","Ed Manning","/players/m/mannied01.html",1976,"https://basketball-reference.com/players/m/mannied01.html"
"2479","Guy Manning","/players/m/mannigu01.html",1969,"https://basketball-reference.com/players/m/mannigu01.html"
"2480","Rich Manning","/players/m/manniri01.html",1997,"https://basketball-reference.com/players/m/manniri01.html"
"2481","Pace Mannion","/players/m/mannipa01.html",1989,"https://basketball-reference.com/players/m/mannipa01.html"
"2482","Nick Mantis","/players/m/mantini01.html",1963,"https://basketball-reference.com/players/m/mantini01.html"
"2483","Pete Maravich","/players/m/maravpe01.html",1980,"https://basketball-reference.com/players/m/maravpe01.html"
"2484","Devyn Marble","/players/m/marblde01.html",2016,"https://basketball-reference.com/players/m/marblde01.html"
"2485","Roy Marble","/players/m/marblro01.html",1994,"https://basketball-reference.com/players/m/marblro01.html"
"2486","Stephon Marbury","/players/m/marbust01.html",2009,"https://basketball-reference.com/players/m/marbust01.html"
"2487","Sarunas Marciulionis","/players/m/marcisa01.html",1997,"https://basketball-reference.com/players/m/marcisa01.html"
"2488","Jack Marin","/players/m/marinja01.html",1977,"https://basketball-reference.com/players/m/marinja01.html"
"2489","Shawn Marion","/players/m/mariosh01.html",2015,"https://basketball-reference.com/players/m/mariosh01.html"
"2490","Boban Marjanovic","/players/m/marjabo01.html",2020,"https://basketball-reference.com/players/m/marjabo01.html"
"2491","Lauri Markkanen","/players/m/markkla01.html",2020,"https://basketball-reference.com/players/m/markkla01.html"
"2492","Damir Markota","/players/m/markoda01.html",2007,"https://basketball-reference.com/players/m/markoda01.html"
"2493","Sean Marks","/players/m/marksse01.html",2011,"https://basketball-reference.com/players/m/marksse01.html"
"2494","Harvey Marlatt","/players/m/marlaha01.html",1973,"https://basketball-reference.com/players/m/marlaha01.html"
"2495","Jim Marsh","/players/m/marshji01.html",1972,"https://basketball-reference.com/players/m/marshji01.html"
"2496","Ricky Marsh","/players/m/marshri01.html",1978,"https://basketball-reference.com/players/m/marshri01.html"
"2497","Donny Marshall","/players/m/marshdo02.html",2003,"https://basketball-reference.com/players/m/marshdo02.html"
"2498","Donyell Marshall","/players/m/marshdo01.html",2009,"https://basketball-reference.com/players/m/marshdo01.html"
"2499","Kendall Marshall","/players/m/marshke01.html",2016,"https://basketball-reference.com/players/m/marshke01.html"
"2500","Rawle Marshall","/players/m/marshra01.html",2007,"https://basketball-reference.com/players/m/marshra01.html"
