"","Yr","Player"
"1",1986,"Larry Bird"
"2",1986,"Maurice Cheeks"
"3",1986,"Julius Erving"
"4",1986,"Patrick Ewing"
"5",1986,"Michael Jordan"
"6",1986,"Jeff Malone"
"7",1986,"Moses Malone"
"8",1986,"Kevin McHale"
"9",1986,"Sidney Moncrief"
"10",1986,"Robert Parish"
"11",1986,"Isiah Thomas"
"12",1986,"Dominique Wilkins"
"13",1986,"Buck Williams"
"14",1986,"Kareem Abdul-Jabbar"
"15",1986,"Rolando Blackman"
"16",1986,"Adrian Dantley"
"17",1986,"Clyde Drexler"
"18",1986,"Alex English"
"19",1986,"Artis Gilmore"
"20",1986,"Marques Johnson"
"21",1986,"Magic Johnson"
"22",1986,"Hakeem Olajuwon"
"23",1986,"Alvin Robertson"
"24",1986,"Ralph Sampson"
"25",1986,"James Worthy"
