"","Yr","Player"
"1",2020,"Bam Adebayo"
"2",2020,"Giannis Antetokounmpo"
"3",2020,"Jimmy Butler"
"4",2020,"Joel Embiid"
"5",2020,"Rudy Gobert"
"6",2020,"Brandon Ingram"
"7",2020,"Kyle Lowry"
"8",2020,"Khris Middleton"
"9",2020,"Donovan Mitchell"
"10",2020,"Pascal Siakam"
"11",2020,"Kemba Walker"
"12",2020,"Trae Young"
"13",2020,"Devin Booker"
"14",2020,"Anthony Davis"
"15",2020,"Luka Doncic"
"16",2020,"James Harden"
"17",2020,"LeBron James"
"18",2020,"Nikola Jokic"
"19",2020,"Kawhi Leonard"
"20",2020,"Damian Lillard"
"21",2020,"Chris Paul"
"22",2020,"Domantas Sabonis"
"23",2020,"Ben Simmons"
"24",2020,"Jayson Tatum"
"25",2020,"Russell Westbrook"
