"","Yr","Player"
"1",1991,"Charles Barkley"
"2",1991,"Larry Bird"
"3",1991,"Brad Daugherty"
"4",1991,"Joe Dumars"
"5",1991,"Patrick Ewing"
"6",1991,"Hersey Hawkins"
"7",1991,"Michael Jordan"
"8",1991,"Bernard King"
"9",1991,"Kevin McHale"
"10",1991,"Robert Parish"
"11",1991,"Ricky Pierce"
"12",1991,"Alvin Robertson"
"13",1991,"Isiah Thomas"
"14",1991,"Dominique Wilkins"
"15",1991,"Tom Chambers"
"16",1991,"Clyde Drexler"
"17",1991,"Kevin Duckworth"
"18",1991,"Tim Hardaway"
"19",1991,"Kevin Johnson"
"20",1991,"Magic Johnson"
"21",1991,"Karl Malone"
"22",1991,"Chris Mullin"
"23",1991,"Terry Porter"
"24",1991,"David Robinson"
"25",1991,"John Stockton"
"26",1991,"James Worthy"
