"","Yr","Player"
"1",1970,"Kareem Abdul-Jabbar"
"2",1970,"Billy Cunningham"
"3",1970,"Dave DeBusschere"
"4",1970,"Walt Frazier"
"5",1970,"Hal Greer"
"6",1970,"John Havlicek"
"7",1970,"Gus Johnson"
"8",1970,"Willis Reed"
"9",1970,"Oscar Robertson"
"10",1970,"Flynn Robinson"
"11",1970,"Tom Van Arsdale"
"12",1970,"Jimmy Walker"
"13",1970,"Elgin Baylor"
"14",1970,"Bill Bridges"
"15",1970,"Joe Caldwell"
"16",1970,"Connie Hawkins"
"17",1970,"Elvin Hayes"
"18",1970,"Lou Hudson"
"19",1970,"Jeff Mullins"
"20",1970,"Bob Rule"
"21",1970,"Nate Thurmond"
"22",1970,"Dick Van Arsdale"
"23",1970,"Chet Walker"
"24",1970,"Jerry West"
"25",1970,"Lenny Wilkens"
