"","Yr","Player"
"1",1973,"John Block"
"2",1973,"Bill Bradley"
"3",1973,"Dave Cowens"
"4",1973,"Dave DeBusschere"
"5",1973,"Walt Frazier"
"6",1973,"John Havlicek"
"7",1973,"Elvin Hayes"
"8",1973,"Lou Hudson"
"9",1973,"Bob Kauffman"
"10",1973,"Pete Maravich"
"11",1973,"Jack Marin"
"12",1973,"Wes Unseld"
"13",1973,"Jo Jo White"
"14",1973,"Lenny Wilkens"
"15",1973,"Kareem Abdul-Jabbar"
"16",1973,"Tiny Archibald"
"17",1973,"Rick Barry"
"18",1973,"Dave Bing"
"19",1973,"Wilt Chamberlain"
"20",1973,"Bob Dandridge"
"21",1973,"Gail Goodrich"
"22",1973,"Connie Hawkins"
"23",1973,"Spencer Haywood"
"24",1973,"Bob Lanier"
"25",1973,"Bob Love"
"26",1973,"Charlie Scott"
"27",1973,"Nate Thurmond"
"28",1973,"Chet Walker"
"29",1973,"Jerry West"
"30",1973,"Sidney Wicks"
