"","Yr","Player"
"1",1988,"Danny Ainge"
"2",1988,"Charles Barkley"
"3",1988,"Larry Bird"
"4",1988,"Maurice Cheeks"
"5",1988,"Brad Daugherty"
"6",1988,"Patrick Ewing"
"7",1988,"Michael Jordan"
"8",1988,"Moses Malone"
"9",1988,"Kevin McHale"
"10",1988,"Doc Rivers"
"11",1988,"Isiah Thomas"
"12",1988,"Dominique Wilkins"
"13",1988,"Kareem Abdul-Jabbar"
"14",1988,"Mark Aguirre"
"15",1988,"James Donaldson"
"16",1988,"Clyde Drexler"
"17",1988,"Alex English"
"18",1988,"Magic Johnson"
"19",1988,"Steve Johnson"
"20",1988,"Fat Lever"
"21",1988,"Karl Malone"
"22",1988,"Xavier McDaniel"
"23",1988,"Hakeem Olajuwon"
"24",1988,"Alvin Robertson"
"25",1988,"James Worthy"
