"","Yr","Player"
"1",1961,"Paul Arizin"
"2",1961,"Wilt Chamberlain"
"3",1961,"Larry Costello"
"4",1961,"Bob Cousy"
"5",1961,"Tom Gola"
"6",1961,"Hal Greer"
"7",1961,"Richie Guerin"
"8",1961,"Tom Heinsohn"
"9",1961,"Willie Naulls"
"10",1961,"Bill Russell"
"11",1961,"Dolph Schayes"
"12",1961,"Elgin Baylor"
"13",1961,"Walter Dukes"
"14",1961,"Wayne Embry"
"15",1961,"Cliff Hagan"
"16",1961,"Bailey Howell"
"17",1961,"Hot Rod Hundley"
"18",1961,"Clyde Lovellette"
"19",1961,"Bob Pettit"
"20",1961,"Oscar Robertson"
"21",1961,"Gene Shue"
"22",1961,"Jerry West"
