"","Yr","Player"
"1",1956,"Paul Arizin"
"2",1956,"Carl Braun"
"3",1956,"Bob Cousy"
"4",1956,"Harry Gallatin"
"5",1956,"Jack George"
"6",1956,"Neil Johnston"
"7",1956,"Red Kerr"
"8",1956,"Ed Macauley"
"9",1956,"Dick McGuire"
"10",1956,"Dolph Schayes"
"11",1956,"Bill Sharman"
"12",1956,"Larry Foust"
"13",1956,"Bob Harrison"
"14",1956,"Mel Hutchins"
"15",1956,"Clyde Lovellette"
"16",1956,"Slater Martin"
"17",1956,"Vern Mikkelsen"
"18",1956,"Bob Pettit"
"19",1956,"Maurice Stokes"
"20",1956,"Bobby Wanzer"
"21",1956,"George Yardley"
