"","Yr","Player"
"1",1987,"Charles Barkley"
"2",1987,"Larry Bird"
"3",1987,"Maurice Cheeks"
"4",1987,"Julius Erving"
"5",1987,"Michael Jordan"
"6",1987,"Bill Laimbeer"
"7",1987,"Jeff Malone"
"8",1987,"Moses Malone"
"9",1987,"Kevin McHale"
"10",1987,"Robert Parish"
"11",1987,"Isiah Thomas"
"12",1987,"Dominique Wilkins"
"13",1987,"Kareem Abdul-Jabbar"
"14",1987,"Mark Aguirre"
"15",1987,"Rolando Blackman"
"16",1987,"Joe Barry Carroll"
"17",1987,"Tom Chambers"
"18",1987,"Walter Davis"
"19",1987,"Alex English"
"20",1987,"Sleepy Floyd"
"21",1987,"Magic Johnson"
"22",1987,"Hakeem Olajuwon"
"23",1987,"Alvin Robertson"
"24",1987,"Ralph Sampson"
"25",1987,"James Worthy"
