"","Yr","Player"
"1",2016,"Carmelo Anthony"
"2",2016,"Chris Bosh"
"3",2016,"Jimmy Butler"
"4",2016,"DeMar DeRozan"
"5",2016,"Andre Drummond"
"6",2016,"Pau Gasol"
"7",2016,"Paul George"
"8",2016,"Al Horford"
"9",2016,"LeBron James"
"10",2016,"Kyle Lowry"
"11",2016,"Paul Millsap"
"12",2016,"Isaiah Thomas"
"13",2016,"Dwyane Wade"
"14",2016,"John Wall"
"15",2016,"LaMarcus Aldridge"
"16",2016,"Kobe Bryant"
"17",2016,"DeMarcus Cousins"
"18",2016,"Stephen Curry"
"19",2016,"Anthony Davis"
"20",2016,"Kevin Durant"
"21",2016,"Draymond Green"
"22",2016,"James Harden"
"23",2016,"Kawhi Leonard"
"24",2016,"Chris Paul"
"25",2016,"Klay Thompson"
"26",2016,"Russell Westbrook"
