"","Yr","Player"
"1",2017,"Giannis Antetokounmpo"
"2",2017,"Carmelo Anthony"
"3",2017,"Jimmy Butler"
"4",2017,"DeMar DeRozan"
"5",2017,"Paul George"
"6",2017,"Kyrie Irving"
"7",2017,"LeBron James"
"8",2017,"Kevin Love"
"9",2017,"Kyle Lowry"
"10",2017,"Paul Millsap"
"11",2017,"Isaiah Thomas"
"12",2017,"Kemba Walker"
"13",2017,"John Wall"
"14",2017,"DeMarcus Cousins"
"15",2017,"Stephen Curry"
"16",2017,"Anthony Davis"
"17",2017,"Kevin Durant"
"18",2017,"Marc Gasol"
"19",2017,"Draymond Green"
"20",2017,"James Harden"
"21",2017,"Gordon Hayward"
"22",2017,"DeAndre Jordan"
"23",2017,"Kawhi Leonard"
"24",2017,"Klay Thompson"
"25",2017,"Russell Westbrook"
