"","Yr","Player"
"1",1963,"Bob Cousy"
"2",1963,"Wayne Embry"
"3",1963,"Tom Gola"
"4",1963,"Johnny Green"
"5",1963,"Hal Greer"
"6",1963,"Richie Guerin"
"7",1963,"Tom Heinsohn"
"8",1963,"Red Kerr"
"9",1963,"Oscar Robertson"
"10",1963,"Bill Russell"
"11",1963,"Lee Shaffer"
"12",1963,"Jack Twyman"
"13",1963,"Elgin Baylor"
"14",1963,"Walt Bellamy"
"15",1963,"Wilt Chamberlain"
"16",1963,"Terry Dischinger"
"17",1963,"Bailey Howell"
"18",1963,"Rudy LaRusso"
"19",1963,"Tom Meschery"
"20",1963,"Don Ohl"
"21",1963,"Bob Pettit"
"22",1963,"Guy Rodgers"
"23",1963,"Jerry West"
"24",1963,"Lenny Wilkens"
