"","Yr","Player"
"1",1976,"Dave Bing"
"2",1976,"Doug Collins"
"3",1976,"Dave Cowens"
"4",1976,"John Drew"
"5",1976,"Walt Frazier"
"6",1976,"John Havlicek"
"7",1976,"Elvin Hayes"
"8",1976,"Bob McAdoo"
"9",1976,"George McGinnis"
"10",1976,"Randy Smith"
"11",1976,"Rudy Tomjanovich"
"12",1976,"Jo Jo White"
"13",1976,"Kareem Abdul-Jabbar"
"14",1976,"Alvan Adams"
"15",1976,"Tiny Archibald"
"16",1976,"Rick Barry"
"17",1976,"Fred Brown"
"18",1976,"Bob Dandridge"
"19",1976,"Curtis Rowe"
"20",1976,"Phil Smith"
"21",1976,"Norm Van Lier"
"22",1976,"Scott Wedman"
"23",1976,"Jamaal Wilkes"
"24",1976,"Brian Winters"
