"","Yr","Player"
"1",1953,"Don Barksdale"
"2",1953,"Carl Braun"
"3",1953,"Bob Cousy"
"4",1953,"Bill Gabor"
"5",1953,"Harry Gallatin"
"6",1953,"Neil Johnston"
"7",1953,"Ed Macauley"
"8",1953,"Dolph Schayes"
"9",1953,"Fred Scolari"
"10",1953,"Paul Seymour"
"11",1953,"Bill Sharman"
"12",1953,"Leo Barnhorst"
"13",1953,"Bob Davies"
"14",1953,"Larry Foust"
"15",1953,"Mel Hutchins"
"16",1953,"Slater Martin"
"17",1953,"George Mikan"
"18",1953,"Vern Mikkelsen"
"19",1953,"Andy Phillip"
"20",1953,"Arnie Risen"
"21",1953,"Bobby Wanzer"
