"","Yr","Player"
"1",1981,"Tiny Archibald"
"2",1981,"Larry Bird"
"3",1981,"Julius Erving"
"4",1981,"Artis Gilmore"
"5",1981,"Eddie Johnson"
"6",1981,"Marques Johnson"
"7",1981,"Bobby Jones"
"8",1981,"Mike Mitchell"
"9",1981,"Robert Parish"
"10",1981,"Micheal Ray Richardson"
"11",1981,"Dan Roundfield"
"12",1981,"Reggie Theus"
"13",1981,"Kareem Abdul-Jabbar"
"14",1981,"Otis Birdsong"
"15",1981,"Adrian Dantley"
"16",1981,"Walter Davis"
"17",1981,"George Gervin"
"18",1981,"Dennis Johnson"
"19",1981,"Moses Malone"
"20",1981,"Truck Robinson"
"21",1981,"Jack Sikma"
"22",1981,"Paul Westphal"
"23",1981,"Jamaal Wilkes"
