"","Yr","Player"
"1",1998,"Anfernee Hardaway"
"2",1998,"Tim Hardaway"
"3",1998,"Grant Hill"
"4",1998,"Michael Jordan"
"5",1998,"Shawn Kemp"
"6",1998,"Reggie Miller"
"7",1998,"Dikembe Mutombo"
"8",1998,"Glen Rice"
"9",1998,"Steve Smith"
"10",1998,"Rik Smits"
"11",1998,"Antoine Walker"
"12",1998,"Jayson Williams"
"13",1998,"Vin Baker"
"14",1998,"Kobe Bryant"
"15",1998,"Tim Duncan"
"16",1998,"Kevin Garnett"
"17",1998,"Eddie Jones"
"18",1998,"Jason Kidd"
"19",1998,"Karl Malone"
"20",1998,"Shaquille O'Neal"
"21",1998,"Gary Payton"
"22",1998,"Mitch Richmond"
"23",1998,"David Robinson"
"24",1998,"Nick Van Exel"
