"","Yr","Player"
"1",1960,"Paul Arizin"
"2",1960,"Wilt Chamberlain"
"3",1960,"Larry Costello"
"4",1960,"Bob Cousy"
"5",1960,"Tom Gola"
"6",1960,"Richie Guerin"
"7",1960,"Willie Naulls"
"8",1960,"Bill Russell"
"9",1960,"Dolph Schayes"
"10",1960,"Bill Sharman"
"11",1960,"George Yardley"
"12",1960,"Elgin Baylor"
"13",1960,"Walter Dukes"
"14",1960,"Dick Garmaker"
"15",1960,"Cliff Hagan"
"16",1960,"Hot Rod Hundley"
"17",1960,"Clyde Lovellette"
"18",1960,"Chuck Noble"
"19",1960,"Bob Pettit"
"20",1960,"Gene Shue"
"21",1960,"Jack Twyman"
