"","Yr","Player"
"1",1966,"Wilt Chamberlain"
"2",1966,"Hal Greer"
"3",1966,"John Havlicek"
"4",1966,"Sam Jones"
"5",1966,"Jerry Lucas"
"6",1966,"Willis Reed"
"7",1966,"Oscar Robertson"
"8",1966,"Bill Russell"
"9",1966,"Adrian Smith"
"10",1966,"Chet Walker"
"11",1966,"Rick Barry"
"12",1966,"Zelmo Beaty"
"13",1966,"Dave DeBusschere"
"14",1966,"Bailey Howell"
"15",1966,"Rudy LaRusso"
"16",1966,"Eddie Miles"
"17",1966,"Don Ohl"
"18",1966,"Guy Rodgers"
"19",1966,"Nate Thurmond"
"20",1966,"Jerry West"
