"","Yr","Player"
"1",1980,"Tiny Archibald"
"2",1980,"Larry Bird"
"3",1980,"Bill Cartwright"
"4",1980,"Dave Cowens"
"5",1980,"John Drew"
"6",1980,"Julius Erving"
"7",1980,"George Gervin"
"8",1980,"Elvin Hayes"
"9",1980,"Eddie Johnson"
"10",1980,"Moses Malone"
"11",1980,"Micheal Ray Richardson"
"12",1980,"Dan Roundfield"
"13",1980,"Kareem Abdul-Jabbar"
"14",1980,"Otis Birdsong"
"15",1980,"Adrian Dantley"
"16",1980,"Walter Davis"
"17",1980,"World B. Free"
"18",1980,"Dennis Johnson"
"19",1980,"Marques Johnson"
"20",1980,"Magic Johnson"
"21",1980,"Jack Sikma"
"22",1980,"Kermit Washington"
"23",1980,"Scott Wedman"
"24",1980,"Paul Westphal"
