"","Yr","Player"
"1",2013,"Carmelo Anthony"
"2",2013,"Chris Bosh"
"3",2013,"Tyson Chandler"
"4",2013,"Luol Deng"
"5",2013,"Kevin Garnett"
"6",2013,"Paul George"
"7",2013,"Jrue Holiday"
"8",2013,"Kyrie Irving"
"9",2013,"LeBron James"
"10",2013,"Brook Lopez"
"11",2013,"Joakim Noah"
"12",2013,"Rajon Rondo"
"13",2013,"Dwyane Wade"
"14",2013,"LaMarcus Aldridge"
"15",2013,"Kobe Bryant"
"16",2013,"Tim Duncan"
"17",2013,"Kevin Durant"
"18",2013,"Blake Griffin"
"19",2013,"James Harden"
"20",2013,"Dwight Howard"
"21",2013,"David Lee"
"22",2013,"Tony Parker"
"23",2013,"Chris Paul"
"24",2013,"Zach Randolph"
"25",2013,"Russell Westbrook"
