"","Yr","Player"
"1",1983,"Larry Bird"
"2",1983,"Maurice Cheeks"
"3",1983,"Julius Erving"
"4",1983,"Marques Johnson"
"5",1983,"Bill Laimbeer"
"6",1983,"Moses Malone"
"7",1983,"Sidney Moncrief"
"8",1983,"Robert Parish"
"9",1983,"Reggie Theus"
"10",1983,"Isiah Thomas"
"11",1983,"Andrew Toney"
"12",1983,"Buck Williams"
"13",1983,"Kareem Abdul-Jabbar"
"14",1983,"Alex English"
"15",1983,"George Gervin"
"16",1983,"Artis Gilmore"
"17",1983,"Magic Johnson"
"18",1983,"Maurice Lucas"
"19",1983,"Jim Paxson"
"20",1983,"Jack Sikma"
"21",1983,"David Thompson"
"22",1983,"Kiki Vandeweghe"
"23",1983,"Jamaal Wilkes"
"24",1983,"Gus Williams"
