"","Yr","Player"
"1",1996,"Vin Baker"
"2",1996,"Terrell Brandon"
"3",1996,"Patrick Ewing"
"4",1996,"Anfernee Hardaway"
"5",1996,"Grant Hill"
"6",1996,"Juwan Howard"
"7",1996,"Michael Jordan"
"8",1996,"Reggie Miller"
"9",1996,"Alonzo Mourning"
"10",1996,"Shaquille O'Neal"
"11",1996,"Scottie Pippen"
"12",1996,"Glen Rice"
"13",1996,"Charles Barkley"
"14",1996,"Clyde Drexler"
"15",1996,"Sean Elliott"
"16",1996,"Shawn Kemp"
"17",1996,"Jason Kidd"
"18",1996,"Karl Malone"
"19",1996,"Dikembe Mutombo"
"20",1996,"Hakeem Olajuwon"
"21",1996,"Gary Payton"
"22",1996,"Mitch Richmond"
"23",1996,"David Robinson"
"24",1996,"John Stockton"
