"","Yr","Player"
"1",2012,"Carmelo Anthony"
"2",2012,"Chris Bosh"
"3",2012,"Luol Deng"
"4",2012,"Roy Hibbert"
"5",2012,"Dwight Howard"
"6",2012,"Andre Iguodala"
"7",2012,"LeBron James"
"8",2012,"Joe Johnson"
"9",2012,"Paul Pierce"
"10",2012,"Rajon Rondo"
"11",2012,"Derrick Rose"
"12",2012,"Dwyane Wade"
"13",2012,"Deron Williams"
"14",2012,"LaMarcus Aldridge"
"15",2012,"Kobe Bryant"
"16",2012,"Andrew Bynum"
"17",2012,"Kevin Durant"
"18",2012,"Marc Gasol"
"19",2012,"Blake Griffin"
"20",2012,"Kevin Love"
"21",2012,"Steve Nash"
"22",2012,"Dirk Nowitzki"
"23",2012,"Tony Parker"
"24",2012,"Chris Paul"
"25",2012,"Russell Westbrook"
