"","Yr","Player"
"1",1995,"Vin Baker"
"2",1995,"Dana Barros"
"3",1995,"Joe Dumars"
"4",1995,"Patrick Ewing"
"5",1995,"Anfernee Hardaway"
"6",1995,"Grant Hill"
"7",1995,"Tyrone Hill"
"8",1995,"Larry Johnson"
"9",1995,"Reggie Miller"
"10",1995,"Alonzo Mourning"
"11",1995,"Shaquille O'Neal"
"12",1995,"Scottie Pippen"
"13",1995,"Charles Barkley"
"14",1995,"Cedric Ceballos"
"15",1995,"Shawn Kemp"
"16",1995,"Dan Majerle"
"17",1995,"Karl Malone"
"18",1995,"Dikembe Mutombo"
"19",1995,"Hakeem Olajuwon"
"20",1995,"Gary Payton"
"21",1995,"Mitch Richmond"
"22",1995,"David Robinson"
"23",1995,"Detlef Schrempf"
"24",1995,"Latrell Sprewell"
"25",1995,"John Stockton"
