"","Yr","Player"
"1",1997,"Vin Baker"
"2",1997,"Terrell Brandon"
"3",1997,"Joe Dumars"
"4",1997,"Patrick Ewing"
"5",1997,"Anfernee Hardaway"
"6",1997,"Tim Hardaway"
"7",1997,"Grant Hill"
"8",1997,"Michael Jordan"
"9",1997,"Christian Laettner"
"10",1997,"Alonzo Mourning"
"11",1997,"Dikembe Mutombo"
"12",1997,"Scottie Pippen"
"13",1997,"Glen Rice"
"14",1997,"Chris Webber"
"15",1997,"Charles Barkley"
"16",1997,"Clyde Drexler"
"17",1997,"Kevin Garnett"
"18",1997,"Chris Gatling"
"19",1997,"Tom Gugliotta"
"20",1997,"Eddie Jones"
"21",1997,"Shawn Kemp"
"22",1997,"Karl Malone"
"23",1997,"Hakeem Olajuwon"
"24",1997,"Shaquille O'Neal"
"25",1997,"Gary Payton"
"26",1997,"Mitch Richmond"
"27",1997,"Detlef Schrempf"
"28",1997,"Latrell Sprewell"
"29",1997,"John Stockton"
