"","Yr","Player"
"1",1955,"Paul Arizin"
"2",1955,"Carl Braun"
"3",1955,"Bob Cousy"
"4",1955,"Harry Gallatin"
"5",1955,"Neil Johnston"
"6",1955,"Ed Macauley"
"7",1955,"Dick McGuire"
"8",1955,"Dolph Schayes"
"9",1955,"Paul Seymour"
"10",1955,"Bill Sharman"
"11",1955,"Jack Coleman"
"12",1955,"Larry Foust"
"13",1955,"Slater Martin"
"14",1955,"Vern Mikkelsen"
"15",1955,"Bob Pettit"
"16",1955,"Andy Phillip"
"17",1955,"Jim Pollard"
"18",1955,"Arnie Risen"
"19",1955,"Frank Selvy"
"20",1955,"Bobby Wanzer"
"21",1955,"George Yardley"
