"","Yr","Player"
"1",2000,"Ray Allen"
"2",2000,"Vince Carter"
"3",2000,"Dale Davis"
"4",2000,"Grant Hill"
"5",2000,"Allan Houston"
"6",2000,"Allen Iverson"
"7",2000,"Eddie Jones"
"8",2000,"Reggie Miller"
"9",2000,"Alonzo Mourning"
"10",2000,"Dikembe Mutombo"
"11",2000,"Glenn Robinson"
"12",2000,"Jerry Stackhouse"
"13",2000,"Kobe Bryant"
"14",2000,"Tim Duncan"
"15",2000,"Michael Finley"
"16",2000,"Kevin Garnett"
"17",2000,"Jason Kidd"
"18",2000,"Karl Malone"
"19",2000,"Shaquille O'Neal"
"20",2000,"Gary Payton"
"21",2000,"David Robinson"
"22",2000,"John Stockton"
"23",2000,"Rasheed Wallace"
"24",2000,"Chris Webber"
