"","Yr","Player"
"1",1985,"Larry Bird"
"2",1985,"Terry Cummings"
"3",1985,"Julius Erving"
"4",1985,"Dennis Johnson"
"5",1985,"Michael Jordan"
"6",1985,"Bernard King"
"7",1985,"Bill Laimbeer"
"8",1985,"Moses Malone"
"9",1985,"Sidney Moncrief"
"10",1985,"Robert Parish"
"11",1985,"Micheal Ray Richardson"
"12",1985,"Jeff Ruland"
"13",1985,"Isiah Thomas"
"14",1985,"Kareem Abdul-Jabbar"
"15",1985,"Rolando Blackman"
"16",1985,"Adrian Dantley"
"17",1985,"Alex English"
"18",1985,"George Gervin"
"19",1985,"Magic Johnson"
"20",1985,"Larry Nance"
"21",1985,"Calvin Natt"
"22",1985,"Norm Nixon"
"23",1985,"Hakeem Olajuwon"
"24",1985,"Ralph Sampson"
"25",1985,"Jack Sikma"
