"","Yr","Player"
"1",2001,"Ray Allen"
"2",2001,"Vince Carter"
"3",2001,"Antonio Davis"
"4",2001,"Grant Hill"
"5",2001,"Allan Houston"
"6",2001,"Allen Iverson"
"7",2001,"Stephon Marbury"
"8",2001,"Anthony Mason"
"9",2001,"Tracy McGrady"
"10",2001,"Alonzo Mourning"
"11",2001,"Dikembe Mutombo"
"12",2001,"Theo Ratliff"
"13",2001,"Glenn Robinson"
"14",2001,"Latrell Sprewell"
"15",2001,"Jerry Stackhouse"
"16",2001,"Kobe Bryant"
"17",2001,"Vlade Divac"
"18",2001,"Tim Duncan"
"19",2001,"Michael Finley"
"20",2001,"Kevin Garnett"
"21",2001,"Jason Kidd"
"22",2001,"Karl Malone"
"23",2001,"Antonio McDyess"
"24",2001,"Shaquille O'Neal"
"25",2001,"Gary Payton"
"26",2001,"David Robinson"
"27",2001,"Rasheed Wallace"
"28",2001,"Chris Webber"
