"","Yr","Player"
"1",1978,"Doug Collins"
"2",1978,"Dave Cowens"
"3",1978,"Julius Erving"
"4",1978,"George Gervin"
"5",1978,"John Havlicek"
"6",1978,"Elvin Hayes"
"7",1978,"Larry Kenon"
"8",1978,"Billy Knight"
"9",1978,"Moses Malone"
"10",1978,"Pete Maravich"
"11",1978,"Bob McAdoo"
"12",1978,"Truck Robinson"
"13",1978,"Randy Smith"
"14",1978,"Rick Barry"
"15",1978,"Walter Davis"
"16",1978,"Artis Gilmore"
"17",1978,"Lionel Hollins"
"18",1978,"Bobby Jones"
"19",1978,"Bob Lanier"
"20",1978,"Maurice Lucas"
"21",1978,"David Thompson"
"22",1978,"Bill Walton"
"23",1978,"Paul Westphal"
"24",1978,"Brian Winters"
