"","Yr","Player"
"1",1979,"Doug Collins"
"2",1979,"Bob Dandridge"
"3",1979,"Julius Erving"
"4",1979,"George Gervin"
"5",1979,"Elvin Hayes"
"6",1979,"Larry Kenon"
"7",1979,"Bob Lanier"
"8",1979,"Moses Malone"
"9",1979,"Pete Maravich"
"10",1979,"Calvin Murphy"
"11",1979,"Campy Russell"
"12",1979,"Rudy Tomjanovich"
"13",1979,"Kareem Abdul-Jabbar"
"14",1979,"Otis Birdsong"
"15",1979,"Walter Davis"
"16",1979,"Artis Gilmore"
"17",1979,"Dennis Johnson"
"18",1979,"Marques Johnson"
"19",1979,"Maurice Lucas"
"20",1979,"George McGinnis"
"21",1979,"Jack Sikma"
"22",1979,"David Thompson"
"23",1979,"Paul Westphal"
