"","Yr","Player"
"1",1965,"Larry Costello"
"2",1965,"Wayne Embry"
"3",1965,"Johnny Green"
"4",1965,"Hal Greer"
"5",1965,"Tom Heinsohn"
"6",1965,"Luke Jackson"
"7",1965,"Sam Jones"
"8",1965,"Jerry Lucas"
"9",1965,"Willis Reed"
"10",1965,"Oscar Robertson"
"11",1965,"Bill Russell"
"12",1965,"Elgin Baylor"
"13",1965,"Walt Bellamy"
"14",1965,"Wilt Chamberlain"
"15",1965,"Terry Dischinger"
"16",1965,"Gus Johnson"
"17",1965,"Don Ohl"
"18",1965,"Bob Pettit"
"19",1965,"Nate Thurmond"
"20",1965,"Jerry West"
"21",1965,"Lenny Wilkens"
