"","Yr","Player"
"1",1977,"Phil Chenier"
"2",1977,"Doug Collins"
"3",1977,"Dave Cowens"
"4",1977,"Julius Erving"
"5",1977,"George Gervin"
"6",1977,"John Havlicek"
"7",1977,"Elvin Hayes"
"8",1977,"Pete Maravich"
"9",1977,"Bob McAdoo"
"10",1977,"George McGinnis"
"11",1977,"Earl Monroe"
"12",1977,"Rudy Tomjanovich"
"13",1977,"Jo Jo White"
"14",1977,"Kareem Abdul-Jabbar"
"15",1977,"Rick Barry"
"16",1977,"Don Buse"
"17",1977,"Dan Issel"
"18",1977,"Bobby Jones"
"19",1977,"Billy Knight"
"20",1977,"Bob Lanier"
"21",1977,"Maurice Lucas"
"22",1977,"Phil Smith"
"23",1977,"David Thompson"
"24",1977,"Norm Van Lier"
"25",1977,"Bill Walton"
"26",1977,"Paul Westphal"
