"","Yr","Player"
"1",1982,"Tiny Archibald"
"2",1982,"Larry Bird"
"3",1982,"Julius Erving"
"4",1982,"Artis Gilmore"
"5",1982,"Bobby Jones"
"6",1982,"Bob Lanier"
"7",1982,"Sidney Moncrief"
"8",1982,"Robert Parish"
"9",1982,"Micheal Ray Richardson"
"10",1982,"Dan Roundfield"
"11",1982,"Isiah Thomas"
"12",1982,"Kelly Tripucka"
"13",1982,"Buck Williams"
"14",1982,"Kareem Abdul-Jabbar"
"15",1982,"Adrian Dantley"
"16",1982,"Alex English"
"17",1982,"George Gervin"
"18",1982,"Dennis Johnson"
"19",1982,"Magic Johnson"
"20",1982,"Bernard King"
"21",1982,"Moses Malone"
"22",1982,"Norm Nixon"
"23",1982,"Lonnie Shelton"
"24",1982,"Jack Sikma"
"25",1982,"Gus Williams"
