"","Tm","W","Yr"
"1","CLE",1,2016
"2","GSW",0.9375,2016
"3","OKC",0.6875,2016
"4","TOR",0.625,2016
"5","MIA",0.4375,2016
"6","SAS",0.375,2016
"7","POR",0.3125,2016
"8","ATL",0.25,2016
"9","CHO",0.1875,2016
"10","IND",0.1875,2016
"11","BOS",0.125,2016
"12","LAC",0.125,2016
"13","DAL",0.0625,2016
"14","HOU",0.0625,2016
