"","Tm","W","Yr"
"1","GSW",1,2015
"2","CLE",0.875,2015
"3","HOU",0.5625,2015
"4","ATL",0.5,2015
"5","LAC",0.4375,2015
"6","CHI",0.375,2015
"7","MEM",0.375,2015
"8","WAS",0.375,2015
"9","SAS",0.1875,2015
"10","BRK",0.125,2015
"11","MIL",0.125,2015
"12","DAL",0.0625,2015
"13","POR",0.0625,2015
